dd/mm/y	who	where	what	what-x (Hebrew)	what-y (Hebrew)
2024-09-18 00:00:00	S(A)K	תהלים	Added grey maqaph in Psalms for cases of merkha at the beginning of a word rather than in the stressed syllable (7 places): Psalms 18:20 (כִּ֘י חָ֥פֵֽץ בִּֽי); Psalms 22:9 (כִּ֘י חָ֥פֵֽץ בּֽוֹ); Psalms 32:2 (אַ֥שְֽׁרֵי אָדָ֗ם); Psalms 39:13 (שִׁ֥מְﬞעָֽה תְפִלָּתִ֨י ׀) = LC with maqaph; Psalms 40:5 (אַ֥שְֽׁרֵי הַגֶּ֗בֶר); Psalms 64:7 (יַ֥חְפְּֽשׂוּ עוֹלֹ֗ת) = LC with maqaph; Psalms 98:9 (לִ֥פְֽנֵי יְהֹוָ֗ה) = LC with maqaph. Grey maqaph had already been added previously in 4 places: Psalms 1:1 (אַ֥שְֽׁרֵי הָאִ֗ישׁ) = LC with maqaph; Psalms 46:4 (יִ֥רְעֲשֽׁוּ הָרִ֖ים) = LC with maqaph; Psalms 66:15 (אֶ֥עֱשֶֽׂה בָקָ֖ר), and Psalms 141:5 (יֶ֥הֶלְמֵֽנִי צַדִּ֨יק ׀) = LC with maqaph.		
2024-09-18 00:00:00	S(A)K	תהלים	Added grey maqaph in Psalms for cases of mahpakh at the beginning of a word rather than in the stressed syllable. With ga`ya in the stressed syllable (5 places): 65:9 (מ֤וֹצָֽאֵי בֹ֖קֶר) = LC with maqaph; Psalms 65:10 (פָּ֤קַֽדְתָּ הָאָ֨רֶץ); Psalms 67:2 (יָ֤אֵֽר פָּנָ֖יו); Psalms 68:11 (תָּ֤כִֽין בְּטוֹבָתְךָ֖); Psalms 83:9 (הָ֤יֽוּ זְר֖וֹעַ). Psalms 36:7 (אָ֤דָֽם וּבְהֵמָ֖ה) and 106:48 (בָּ֤רֽוּךְ יְהֹוָ֨ה) had already been added (both = LC with maqaph). Without ga`ya in the stressed syllable (2 places; see Yeivin מב.16.4 p. 293): Psalms 43:1 (מֵ֤אִישׁ מִרְמָ֖ה) = LC with maqaph; Psalms 54:8 (א֤וֹדֶה שִּׁמְךָ֖); and also Proverbs 29:13 (מֵ֤אִיר עֵינֵ֖י) = LC with maqaph, which was already added on 16/09/2024.		
2024-09-18 00:00:00	S(A)K	איוב	"Added grey maqaph in Job 14:13 (""תָּ֤שִֽׁית לִ֖י"") and Job 24:15 (""שָׁ֤מְרָֽה נֶ֣שֶׁף"")."		
2024-09-16 00:00:00	S(A)K	משלי	"Added grey maqaph in Proverbs 28:22 (""נִ֥בְﬞהָֽל־לַה֗וֹן"") and Proverbs 29:13 (""מֵ֤אִיר־עֵינֵ֖י""; =LC)."		
2024-09-12 00:00:00	BD	"ספרי אמ""ת"	Applied 58 auto-edits.		
2024-09-12 00:00:00	S(A)K	"ספרי אמ""ת"	Added grey maqaph after 15 words in the poetic books (Sifrei Emet), where zinnor appears alone with no further accent (the stress is marked in the following word via another accent): Psalms 2:7 (אָמַ֘ר־אֵלַ֥י); Psalms 5:5 (כִּ֤י ׀ לֹ֤א אֵֽל־חָפֵ֘ץ־רֶ֥שַׁע); Psalms 18:1 (הִֽצִּיל־יְהֹוָ֘ה־אוֹת֥וֹ); Psalms 18:20 (כִּ֘י־חָ֥פֵֽץ); Psalms 22:9 (כִּ֘י־חָ֥פֵֽץ); Psalms 31:22 (הִפְלִ֘יא־חַסְדּ֥וֹ); Psalms 49:15 (וַיִּרְדּ֘וּ־בָ֤ם); Psalms 62:9 (בִּטְח֘וּ־ב֤וֹ); Psalms 66:20 (לֹֽא־הֵסִ֘יר־תְּפִלָּתִ֥י); Psalms 95:7 (כִּ֘י־ה֤וּא); Psalms 147:20 (לֹ֘א־עָ֤שָׂה); Proverbs 6:3 (כִּ֘י־בָ֤אתָ); Job 18:19 (לֹ֘א־נִ֤ין); Job 32:5 (כִּ֘י־אֵ֤ין); Job 37:21 (לֹ֘א־רָ֤אוּ). Credit to Ben Denckla. To be imported via auto-edits.		
2024-09-09 00:00:00	BD	various	Applied 132 auto-edits.		
2024-09-08 00:00:00	S(A)K	נחמיה ט,לז	"Added stress helper in ""גְּ֠וִיֹּתֵ֠ינוּ"". Credit to Ben Denckla. To be imported via auto-edits."		
2024-08-28 00:00:00	S(A)K	בראשית יח,טו	"Added meteg to ""וַיֹּ֥אמֶֽר ׀ לֹ֖א"" (following C3 and the practice of A) along with a documentation note. Credit to Ben Denckla. To be imported via auto-edits."		
2024-08-25 00:00:00	S(A)K	עזרא ט,ט	"Moved accent to its proper place over the letter ת in ""וּ֨בְעַבְדֻתֵ֔נוּ"" (following B1, C13, S1 and others but not L). Credit to Asael Reiter. To be imported via auto-edits."		
